GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simple-testing,com.cgi,Wallet,5,49,1,7,0,10,1,7,0,4
simple-testing,com.cgi,App,7,0,0,0,3,0,2,0,2,0
